fecha_creacion,producto,tipo_trabajo,tipo_cliente,descripcion,servicio_urgente,critico,fuente,Propenso_a_Fallar
17/01/2025,FREIDORA_9003160_FREIDORA AIRE HACEB 4.2L,DESAJUSTE DE PIEZAS Y PARTES,No Aplica,"REFERENCIA: FREIDORA 
FALLA: NO AJUSTA LA CANASTA HAY QUE METERLA FORZADA, QUEDA DESAJUSTADA Y NO DEJA SALIR EL VAPOR
FECHA DE COMPRA: 3 MESES APROX.
SE BRINDAN POLÍTICAS: GARANTÍA Y COBRO/ MODIFICACIÓN Y CANCELACIÓN",False,False,Línea Servicio,0
3/02/2025,NEVERA HIMALAYA 448 L_9002462_N HIMALAYA 448 SE TI R2,NO ENFRÍA,Reincidente,"POLITICA DE COBRO/GARANTIA
PRODUCTO: NEVERA N HIMALAYA 448 SE TI R2 CODIGO SAP 9002462
FECHA DE COMPRA: 3 AÑOS 
FALLA: EN OCASIONES DEJA DE CONGELAR Y DE ENFRIA SE LE ESTAN DAÑANDO LOS ALIMENTOS
POLITICA DE REPUESTOS:N/A",True,False,Línea Servicio,0
3/02/2025,ALQUILER NEV SE 30D_584_ALQUILER NEVERA SIN ESCARCHA 30D,ALQUILER DE PRODUCTOS,No Aplica,NEV MEDIANA X 30 DÍAS $ 129.044,False,False,Línea Servicio,0
3/02/2025,CPG 10_9002239_CP BAMBÚ 10 LT TN GN DISP BL,INSTALACION VENTAS HOMECENTER,No Aplica,"****POR FAVOR NO MOVER, SERVICIO HOMECENTER****POR FAVOR GARANTIZAR LA FIRMA DE LA FACTURA**** OT: HCL286767
CAL CPG 
PUNTOS LISTOS, PRODUCTO EN EL DOMICILIO.",False,False,Línea Servicio,0
5/02/2025,NEVERA SIN ESCARCHA 404 L_9003305_NEV ALC 404 SE DA ME TI INV,RUIDO,No Aplica,"PRODUCTO: NEVERA
MARCA:   HACEB
FECHA DE COMPRA: 25/01/2025
FALLA: SONIDO
Se informa:
MODIFICACIÓN O CANCELACIÓN
POLITICA DE garantia",False,False,Línea Servicio,0
5/02/2025,LAV ZOU 16_9002536_LAV ZOÜ 16 KG D NE,NO PRENDE,No Aplica,"POLITICAS

GARANTIA: OK 
COBRO: OK 
REPUESTOS: OK	
	
F.C: 17-04-2024  
RODUCTO: LAV ZOU 16 KG 
FALLAS:   NO ENCIENDE 

DESCARTES
OK",False,False,Línea Servicio,0
5/02/2025,LAV SA 7 BL_9003009_LAV 7 KG SA BL,NO EXPRIME,Reincidente,"REFERENCIA: LAVADORA SA 7 KG
FALLA: NO ARRANCA LA TINA DEL SECADO
FECHA DE COMPRA: 14 DE ENERO DE 2024
SE BRINDAN POLITICAS: GARANTÍA Y COBRO/ MODIFICACIÓN Y CANCELACIÓN",False,False,Línea Servicio,0
6/02/2025,CPG 10_9002239_CP BAMBÚ 10 LT TN GN DISP BL,CALIENTA MUCHO,No Aplica,"Fecha de compra: NOV 2023
Referencia/Modelo: CALENTADOR BAMBU 10L 
Falla: CALIENTA MUCHO, PERO EN EL LAVAMANOS YA NO SUBE AGUA CALIENTE,  Y YA NO PUEDE REGULAR LA TEMPERATURA, 
correo:
Se informa:
MODIFICACIÓN O CANCELACIÓN",False,False,Línea Servicio,0
7/02/2025,LAV SA 7 BL_9003009_LAV 7 KG SA BL,NO LAVA,Reincidente,"REFERENCIA:LAV SA 7 BL_9003009_LAV 7 KG SA BL
FECHA DE COMPRA: 15/02/2024
FALLA: SE DETIENE AL LAVAR Y TIENE UN RUIDO FUERTE
SE REALIZA ASESORIA
POLITICAS DE COBRO CANCELACIÓN Y MODIFICACIÓN.",False,False,WhatsApp,0
7/02/2025,ESTUFA DE MESA GAS_9001812_EM AVELLANA V GP PL,NO PRENDE,No Aplica,"MARCA:HACEB 
FECHA DE COMPRA:20/1/2025
REFERENCIA:ESTUFA AVELLANA DE MESA GP 
MOTIVO:NO LE PRENDE UNO DE LOS FOGONES 
ASESORIA:CILINDRO EN OTRA HABITACION 
POLITICA DE COBRO
POLITICA DE MODIFICACION Y CANCELACIÓN",False,False,Línea Servicio,0
